x, y, u, v, p, 
0.683885, 0.0309774, 0.0512837, 0.000621267, -0.0251725, 
0.609885, 0.971034, 0.131627, 0.00318426, -0.033107, 
0.16273, 0.0284319, 0.0205164, -0.00851355, 0.0451978, 
0.229965, 0.969252, 0.0469891, 0.00721221, 0.0487606, 
0.936696, 0.971556, 0.118679, -0.00381635, -0.0586052, 
0.121147, 0.0592188, 0.0230902, -0.0148398, 0.049219, 
0.873196, 0.96043, 0.286525, -0.00220702, -0.0590916, 
0.873178, 0.0399038, 0.0577835, 0.00898961, -0.0427859, 
0.664069, 0.978988, 0.124252, 0.00212006, -0.0416096, 
0.556053, 0.971141, 0.112825, 0.00321699, -0.0231449, 
0.919498, 0.940052, 0.302379, -0.00605529, -0.0596559, 
0.924889, 0.970957, 0.140458, -0.00358732, -0.058842, 
0.591215, 0.028544, 0.0469518, -0.00235038, -0.0131969, 
0.92418, 0.0289568, 0.031651, 0.00650239, -0.0451339, 
0.415539, 0.968486, 0.0819983, 0.00432471, 0.0074666, 
0.350402, 0.971126, 0.0662225, 0.00383231, 0.0228049, 
0.143682, 0.0195311, 0.0138074, -0.00608575, 0.0467302, 
0.81603, 0.979088, 0.181636, 8.32046e-05, -0.0568817, 
0.453254, 0.971739, 0.0852048, 0.00282591, -0.000957476, 
0.175192, 0.028716, 0.022021, -0.00885093, 0.0440748, 
0.0262514, 0.0289277, 0.00380134, -0.00333309, 0.0529932, 
0.0262677, 0.971071, 0.0105945, 0.00702273, 0.0699706, 
0.560317, 0.0127718, 0.0244646, -0.00157919, -0.0088784, 
0.0900038, 0.0309645, 0.0127182, -0.00758014, 0.050549, 
0.319128, 0.0592253, 0.0570989, -0.0164593, 0.0268194, 
0.282954, 0.0218769, 0.0267619, -0.00700232, 0.0312307, 
0.954189, 0.940386, 0.175244, -0.00696949, -0.0591306, 
0.69535, 0.0297965, 0.0512854, 0.000914542, -0.0264725, 
0.960029, 0.950733, 0.123363, -0.00589819, -0.0585691, 
0.749422, 0.0290505, 0.0494915, 0.00252354, -0.0322749, 
0.749488, 0.971315, 0.205405, 0.00215628, -0.0519986, 
0.144757, 0.0592858, 0.0275927, -0.0158242, 0.0473773, 
0.162411, 0.0490526, 0.0282717, -0.0139403, 0.0455964, 
0.730217, 0.0305961, 0.0527923, 0.00209472, -0.0303132, 
0.283496, 0.979352, 0.04936, 0.0048494, 0.0378724, 
0.942784, 0.940451, 0.21639, -0.00678699, -0.0593283, 
0.600525, 0.0218672, 0.0374525, -0.00185337, -0.0143498, 
0.925295, 0.93001, 0.332697, -0.00667413, -0.0599439, 
0.0260605, 0.430087, -0.00131131, -0.00467071, 0.0808146, 
0.210775, 0.97092, 0.04271, 0.00670089, 0.052387, 
0.677182, 0.0228646, 0.0400782, 0.000447216, -0.0243184, 
0.405997, 0.968524, 0.079912, 0.00400428, 0.00985171, 
0.126348, 0.0492284, 0.0223867, -0.0131617, 0.0485512, 
0.925363, 0.950367, 0.231405, -0.00556584, -0.0592828, 
0.803623, 0.979078, 0.179079, 0.000508182, -0.0561339, 
0.369038, 0.0287534, 0.0391639, -0.00831708, 0.0193884, 
0.369179, 0.971022, 0.0695939, 0.0050889, 0.0184205, 
0.330574, 0.0589276, 0.0586277, -0.0162918, 0.0252409, 
0.31326, 0.0494597, 0.0507935, -0.0143573, 0.0275356, 
0.97706, 0.96047, 0.0557802, -0.00442726, -0.0576697, 
0.320228, 0.976882, 0.056245, 0.00437805, 0.0295617, 
0.848437, 0.0412155, 0.0631725, 0.00858087, -0.0413033, 
0.561815, 0.9604, 0.138318, 0.00392004, -0.0242431, 
0.573347, 0.960207, 0.144478, 0.00396794, -0.0264265, 
0.786398, 0.0311874, 0.0521731, 0.00441326, -0.0358238, 
0.78695, 0.969155, 0.241818, 0.00120082, -0.0551126, 
0.96068, 0.971521, 0.0737949, -0.00374617, -0.0578332, 
0.889458, 0.030303, 0.0426273, 0.00717861, -0.0435612, 
0.266043, 0.0311375, 0.0338186, -0.00974446, 0.0334754, 
0.0890849, 0.957849, 0.0187067, 0.0116321, 0.0690944, 
0.590764, 0.969571, 0.129585, 0.00297918, -0.0297102, 
0.832438, 0.969441, 0.250487, -0.000195163, -0.0577366, 
0.0709457, 0.0309111, 0.0100036, -0.00676461, 0.0515366, 
0.79588, 0.0307983, 0.0513052, 0.00449896, -0.0367006, 
0.508037, 0.0304554, 0.0498446, -0.0056635, -0.00138625, 
0.422555, 0.976096, 0.0723094, 0.00283026, 0.00589143, 
0.647844, 0.969411, 0.155403, 0.00270381, -0.0392411, 
0.969204, 0.99406, 0.0309285, -0.0246922, -0.0569783, 
0.906872, 0.0397949, 0.0493084, 0.00926872, -0.0446005, 
0.918462, 0.0396458, 0.0447635, 0.00888302, -0.0450825, 
0.156318, 0.0388604, 0.0238399, -0.0113442, 0.0458909, 
0.942822, 0.961237, 0.141086, -0.00499175, -0.0586701, 
0.027112, 0.389077, -0.000626597, -0.00615678, 0.0778146, 
0.0378133, 0.389265, -0.00097767, -0.00682688, 0.0774181, 
0.540121, 0.0113017, 0.0227746, -0.00240532, -0.0061761, 
0.10975, 0.059371, 0.021328, -0.0143972, 0.0500204, 
0.0373404, 0.70974, -0.00678118, 0.00956412, 0.0881392, 
0.0373084, 0.189746, 0.00549429, -0.0128347, 0.0611394, 
0.03726, 0.929767, 0.00401472, 0.0137235, 0.0728244, 
0.037324, 0.270256, 0.00256669, -0.0113433, 0.0675932, 
0.054432, 0.359676, -0.000328927, -0.00926837, 0.074176, 
0.0106826, 0.300108, 0.000652705, -0.00571148, 0.0708251, 
0.0372002, 0.129647, 0.00752449, -0.0122138, 0.057004, 
0.0106468, 0.520134, -0.00100311, -0.00157564, 0.086776, 
0.0104365, 0.460124, -0.000641466, -0.00290342, 0.0832977, 
0.0105849, 0.159853, 0.00204439, -0.00594849, 0.0595303, 
0.0106482, 0.0998674, 0.00242899, -0.00483498, 0.055798, 
0.0107228, 0.399595, -0.000335149, -0.00413497, 0.0789751, 
0.0106845, 0.679893, -0.00180969, 0.00295551, 0.0898901, 
0.0371914, 0.490357, -0.0034561, -0.00208669, 0.0842021, 
0.0106826, 0.899892, 0.000130075, 0.007918, 0.0760385, 
0.260079, 0.959813, 0.0538592, 0.00848479, 0.0428472, 
0.312527, 0.0303819, 0.0374875, -0.00936997, 0.0275069, 
0.0427105, 0.0202083, 0.00460168, -0.00327807, 0.0524495, 
0.0426328, 0.979902, 0.0177251, 0.00550038, 0.0698156, 
0.138273, 0.0493035, 0.0240234, -0.0133948, 0.0476005, 
0.232591, 0.0515284, 0.0405203, -0.0149652, 0.038261, 
0.0941959, 0.948454, 0.0176679, 0.0138553, 0.0690618, 
0.942753, 0.0203902, 0.017784, 0.00387861, -0.0456084, 
0.937035, 0.95081, 0.197142, -0.0060442, -0.0590975, 
0.121882, 0.958754, 0.0251027, 0.0114638, 0.0658776, 
0.458067, 0.0410648, 0.0582856, -0.00864722, 0.00637815, 
0.220242, 0.0226443, 0.022576, -0.00726417, 0.0394642, 
0.971132, 0.69, 0.444006, 0.0105096, -0.0699798, 
0.959585, 0.69, 0.591021, 0.0146215, -0.0698192, 
0.976906, 0.82, 0.301087, -0.00233898, -0.065404, 
0.971132, 0.81, 0.387452, -0.00114152, -0.0658616, 
0.988453, 0.08, 0.0153941, 0.00495218, -0.0477729, 
0.988453, 0.58, 0.165407, 0.00781046, -0.0706954, 
0.976906, 0.58, 0.319899, 0.0147278, -0.0705912, 
0.976906, 0.08, 0.0300974, 0.00833536, -0.0476689, 
0.994226, 0.61, 0.0730699, 0.00346394, -0.0708903, 
0.988453, 0.4, 0.113128, 0.0122436, -0.065148, 
0.976906, 0.4, 0.219212, 0.0216696, -0.0650287, 
0.971132, 0.47, 0.319644, 0.0232898, -0.0679413, 
0.994226, 0.43, 0.0524388, 0.00636535, -0.0665761, 
0.994226, 0.11, 0.00541521, 0.00375753, -0.0489563, 
0.959585, 0.47, 0.422889, 0.0295812, -0.0677168, 
0.971132, 0.77, 0.429715, 0.00296592, -0.0676038, 
0.994226, 0.85, 0.0427302, -0.0023428, -0.0638581, 
0.971132, 0.73, 0.446325, 0.00696416, -0.0689902, 
0.976906, 0.66, 0.354033, 0.0103194, -0.0705129, 
0.971132, 0.23, 0.133975, 0.0238173, -0.0551776, 
0.976906, 0.48, 0.266789, 0.0191182, -0.0683761, 
0.971132, 0.63, 0.420098, 0.0148717, -0.0706734, 
0.959585, 0.23, 0.179951, 0.0301579, -0.0549508, 
0.953812, 0.68, 0.651575, 0.0174826, -0.0698939, 
0.976906, 0.2, 0.0903665, 0.0184017, -0.0534816, 
