x, y, u, v, p, 
0.447498, 0.0294404, 0.0366911, -0.00707847, 0.00792358, 
0.437883, 0.0353808, 0.0448265, -0.00586817, 0.00926194, 
0.438823, 0.0245113, 0.0331997, -0.00762287, 0.009207, 
0.101938, 0.016222, 0.00668824, -0.00436766, 0.0495845, 
0.11186, 0.0213546, 0.00712205, -0.0050069, 0.0490111, 
0.852369, 0.95691, 0.332009, 0.000114571, -0.0586521, 
0.852578, 0.94551, 0.405588, -0.000319189, -0.0588403, 
0.392726, 0.025855, 0.0301676, -0.00491747, 0.0158924, 
0.387164, 0.0353321, 0.0417889, -0.00954288, 0.0166285, 
0.38716, 0.964759, 0.0715492, 0.0059144, 0.0140091, 
0.392875, 0.974446, 0.0582673, 0.000920017, 0.0128446, 
0.132351, 0.970613, 0.0215591, 0.00749786, 0.0644063, 
0.141928, 0.964669, 0.0253589, 0.0102497, 0.063438, 
0.141034, 0.975536, 0.0258291, 0.00435838, 0.0632767, 
0.187147, 0.974219, 0.0293248, 0.00845065, 0.0565931, 
0.1927, 0.964748, 0.0337581, 0.00669795, 0.0559538, 
0.875545, 0.975114, 0.191792, -0.00160515, -0.0589457, 
0.887008, 0.974097, 0.187084, -0.00164335, -0.0590646, 
0.901695, 0.0160251, 0.0190929, 0.00270426, -0.0440691, 
0.911285, 0.02142, 0.0225731, 0.00448133, -0.0445026, 
0.713891, 0.945401, 0.294571, 0.00356034, -0.0484782, 
0.713215, 0.956922, 0.249051, 0.00596669, -0.0482855, 
0.652678, 0.97047, 0.146716, 0.00251588, -0.039996, 
0.661981, 0.964758, 0.174245, 0.00569136, -0.0414097, 
0.661069, 0.975228, 0.134208, 0.000604821, -0.0412821, 
0.853178, 0.0558807, 0.0810469, 0.0110596, -0.041877, 
0.852791, 0.0446689, 0.0652085, 0.00748116, -0.0416125, 
0.89697, 0.990307, 0.0734821, -0.00976371, -0.0589599, 
0.89, 1, 0.1, 0, -0.058972, 
0.818245, 0.964836, 0.281105, 0.000299641, -0.057109, 
0.827594, 0.970465, 0.245041, 0.000343944, -0.0575003, 
0.819044, 0.975301, 0.208657, 0.00122332, -0.0570346, 
0.048686, 0.0217242, 0.00327335, -0.00339544, 0.0522442, 
0.0587657, 0.0162329, 0.00354917, -0.00200931, 0.0518817, 
0.0586812, 0.98403, 0.0206588, 0.00317072, 0.0696477, 
0.0485544, 0.978439, 0.0180915, 0.00489615, 0.0698033, 
0.333536, 0.0536398, 0.049858, -0.0124488, 0.0247262, 
0.333122, 0.0421978, 0.0428398, -0.0140985, 0.0247012, 
0.772982, 0.0255858, 0.0404237, 0.00402329, -0.0345675, 
0.767645, 0.0352767, 0.0547707, 0.00261878, -0.0342739, 
0.767913, 0.964916, 0.253284, 0.00294227, -0.0537464, 
0.773445, 0.974688, 0.200807, 0.000567583, -0.0540446, 
0.314235, 0.9904, 0.0323597, 0.00949702, 0.0307521, 
0.319235, 0.98174, 0.0455135, 0.00363194, 0.029629, 
0.325, 0.99134, 0.0319646, 0.00351064, 0.0284422, 
0.578795, 0.98413, 0.0739914, -0.000387363, -0.0272269, 
0.569247, 0.978788, 0.0813814, 0.00270001, -0.0255804, 
0.516602, 0.990394, 0.0444825, 0.00249462, -0.0152412, 
0.51, 1, 0.1, 0, -0.0140524, 
0.521525, 0.0164645, 0.0245813, -0.00411967, -0.00347767, 
0.531076, 0.022203, 0.0283087, -0.00338173, -0.00470261, 
0.271487, 0.970912, 0.0388081, 0.00547649, 0.0403988, 
0.28081, 0.964871, 0.0480906, 0.00966661, 0.0385161, 
0.280244, 0.975694, 0.0426903, 0.00148783, 0.0384624, 
0.973711, 0.00921006, 0.00318246, 0.00280756, -0.0461849, 
0.963711, 0.00921006, 0.00476628, 0.00347438, -0.0460165, 
0.97, 0, 0, 0, -0.046109, 
0.326108, 0.974923, 0.0473466, 0.00729021, 0.0282996, 
0.331711, 0.965004, 0.0589836, 0.00433894, 0.0272658, 
0.801018, 0.964608, 0.276747, 0.0025072, -0.0561191, 
0.800435, 0.975286, 0.205525, 0.000216859, -0.0560111, 
0.791757, 0.970222, 0.237453, 0.00123273, -0.0554522, 
0.740083, 0.959227, 0.253234, 0.00315014, -0.0511524, 
0.730581, 0.966069, 0.218747, 0.00395484, -0.0503011, 
0.215396, 0.0260251, 0.0197049, -0.00600895, 0.0399311, 
0.213897, 0.0368426, 0.0268642, -0.0115831, 0.0402344, 
0.635827, 0.0246704, 0.035886, 0.000542676, -0.0187209, 
0.63074, 0.0342816, 0.0504651, -0.00315291, -0.0183088, 
0.628718, 0.965074, 0.152776, 0.00463201, -0.0364022, 
0.634088, 0.974987, 0.122649, 0.000479693, -0.0370635, 
0.493559, 0.975886, 0.0737243, 0.000769265, -0.0106535, 
0.505011, 0.97425, 0.0833368, 0.00658477, -0.0128451, 
0.0396015, 0.0347705, 0.00526232, -0.00442467, 0.0527851, 
0.0312952, 0.0283587, 0.00289565, -0.0031271, 0.0528786, 
0.0390658, 0.0235882, 0.00333187, -0.00248835, 0.0525909, 
0.0313197, 0.97164, 0.0124928, 0.00563996, 0.0700226, 
0.0398177, 0.965253, 0.0128226, 0.00610336, 0.0703745, 
0.0392877, 0.976441, 0.0151805, 0.00468968, 0.0699342, 
0.304235, 0.9904, 0.030587, 0.00371039, 0.0330381, 
0.31, 1, 0.1, 0, 0.0317698, 
0.97425, 0.955706, 0.0734515, -0.00203145, -0.0579748, 
0.965641, 0.950454, 0.107803, -0.00440465, -0.0584382, 
0.973968, 0.945252, 0.0878186, -0.0030606, -0.0585051, 
0.694394, 0.990408, 0.0727224, -0.00260604, -0.0458638, 
0.699394, 0.981748, 0.121624, 0.00208793, -0.0465473, 
0.705, 0.99134, 0.0719001, -0.0066858, -0.0471299, 
0.429562, 0.0219547, 0.0246902, -0.00505638, 0.010542, 
0.439177, 0.0160144, 0.0221768, -0.00228918, 0.00930153, 
0.074968, 0.963442, 0.0166967, 0.00863564, 0.0696814, 
0.0762019, 0.974301, 0.0183035, 0.00555431, 0.0693042, 
0.605803, 0.0243672, 0.0354441, -0.00402981, -0.0149976, 
0.610285, 0.0343857, 0.0498439, -0.00214694, -0.0155459, 
0.140947, 0.0442814, 0.0196224, -0.00980408, 0.0472847, 
0.150173, 0.038929, 0.0171551, -0.0105174, 0.0464209, 
0.279657, 0.0259861, 0.0247494, -0.00588039, 0.0316416, 
0.280301, 0.0368712, 0.0335363, -0.0123723, 0.0317096, 
0.271522, 0.0302977, 0.0256998, -0.00911644, 0.0327876, 
0.684394, 0.990408, 0.0677256, -0.00508167, -0.0445246, 
0.69, 1, 0.1, 0, -0.0452658, 
0.164573, 0.990293, 0.0251298, 0.00863123, 0.0597899, 
0.174573, 0.990293, 0.0263099, 0.0133088, 0.0582487, 
0.17, 1, 0.1, 0, 0.058959, 
0.415371, 0.00972277, 0.00959741, -0.00440872, 0.0127371, 
0.405371, 0.00972277, 0.00997225, -0.00125474, 0.0142175, 
0.41, 0, 0, 0, 0.0135356, 
0.939129, 0.0238865, 0.0212902, 0.00471387, -0.0455712, 
0.939337, 0.0347475, 0.0296584, 0.00550653, -0.0457137, 
0.930427, 0.028634, 0.0272674, 0.00577476, -0.0453366, 
0.4565, 0.0253286, 0.0352399, -0.00343254, 0.00658093, 
0.45556, 0.0361981, 0.0476015, -0.00964151, 0.00672498, 
0.554833, 0.01, 0.0122097, -0.00256405, -0.00819528, 
0.544833, 0.01, 0.0117446, 0.000508411, -0.00678192, 
0.55, 0, 0, 0, -0.00753226, 
0.150673, 0.0592549, 0.0227729, -0.0148395, 0.0468724, 
0.159311, 0.0542172, 0.0247405, -0.0122302, 0.0459895, 
0.15971, 0.0645754, 0.0277313, -0.0167452, 0.0462479, 
0.180071, 0.981084, 0.031534, 0.00447726, 0.0575156, 
0.185498, 0.990792, 0.0263087, 0.0089844, 0.0566181, 
0.123513, 0.974546, 0.0234682, 0.00823086, 0.0653543, 
0.124407, 0.963679, 0.0222063, 0.00723536, 0.065489, 
0.150306, 0.978115, 0.0241408, 0.00525473, 0.0620253, 
0.140728, 0.984059, 0.0273595, 0.00491745, 0.0630796, 
0.350178, 0.0337414, 0.0378858, -0.0102925, 0.0219324, 
0.359328, 0.0407605, 0.0396294, -0.0108297, 0.0208466, 
0.605362, 0.00842832, 0.011171, 0.00179321, -0.0149097, 
0.600347, 0.0168619, 0.026617, -0.00177298, -0.0143163, 
0.594985, 0.00843361, 0.0109574, -0.00170071, -0.0135842, 
0.541148, 0.976192, 0.0876898, 0.00575483, -0.0202044, 
0.54103, 0.965289, 0.111159, 0.000973571, -0.0202754, 
0.549832, 0.971481, 0.0973027, 0.00325087, -0.0219843, 
0.0314011, 0.430131, -0.00412933, -0.00277167, 0.0806024, 
0.0395169, 0.424915, -0.00493412, -0.0010152, 0.0798763, 
0.0394213, 0.435209, -0.00330743, -0.00196534, 0.0805753, 
0.982679, 0.00732051, 0.0022583, 0.00307712, -0.0462879, 
0.976391, 0.0165306, 0.00553834, 0.00111133, -0.0463034, 
0.122058, 0.0345647, 0.014362, -0.00730342, 0.0484883, 
0.121734, 0.0235152, 0.0109174, -0.00710572, 0.0483778, 
